Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,,,,,,,,,,,,,,,
131,6,21.205791,92.157496,8.50,2020,22,58,25.0,14.0,10.0,8.5,Soil or Earth,Slide,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
132,6,21.202149,92.156556,11.00,2020,34,57,32.0,19.7,13.0,11.0,Soil or Earth,Complex,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
133,6,21.205537,92.158806,9.00,2019,18,44,22.0,29.1,16.0,9.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
134,2E,21.205842,92.161960,5.50,2020,20,50,12.0,8.0,7.0,5.5,Soil or Earth,Slide,Dormant ,Confined,Successive,,,,,,,,,,,,,,,
135,2E,21.206856,92.161132,7.00,2020,20,62,40.0,10.0,8.0,7.0,Soil or Earth,Slide,Active,"Enlarging, Widening",Successive,,,,,,,,,,,,,,,
136,2E,21.207509,92.162365,4.60,2020,15,50,13.0,7.0,6.0,4.6,Soil or Earth,Slide,Stabilized,#NULL!,Successive,,,,,,,,,,,,,,,
137,2E,21.205633,92.159085,7.00,2019,56,52,42.0,8.4,14.0,7.0,Soil or Earth,Complex,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
138,RC,21.210141,92.166012,6.80,2017,20,40,25.0,20.0,15.0,6.8,Soil or Earth,Slide,Stabilized,Advancing,Successive,,,,,,,,,,,,,,,
139,2W,21.209284,92.153656,4.20,2019,24,50,18.0,9.5,8.0,4.2,Soil or Earth,Slide,Dormant ,"Advancing, Enlarging, Widening",Complex,,,,,,,,,,,,,,,
140,2W,21.210113,92.154306,9.30,2017,24,42,30.0,21.5,18.0,9.3,Soil or Earth,Complex,Active,"Advancing, Enlarging, Widening",Complex,,,,,,,,,,,,,,,
141,2W,21.209492,92.153831,9.20,2018,18,48,40.0,22.0,18.0,9.2,Soil or Earth,Complex,Active,"Advancing, Enlarging",Complex,,,,,,,,,,,,,,,
142,2W,21.208065,92.154185,13.00,2018,20,60,30.0,27.0,20.0,13.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
143,2W,21.209594,92.158242,5.20,#NULL!,22,62,60.0,10.0,8.0,5.2,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
144,2W,21.207137,92.159944,8.00,2019,40,75,27.0,12.4,18.0,8.0,Soil or Earth,Slide,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
145,2W,21.206541,92.158441,8.00,2019,40,60,25.0,12.4,12.0,8.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
146,2W,21.206971,92.156930,9.00,2019,33,65,20.0,16.5,12.0,9.0,Soil or Earth,Complex,Suspended,Advancing,Successive,,,,,,,,,,,,,,,
147,1W,21.212742,92.156005,5.00,#NULL!,30,45,16.0,12.0,10.0,5.0,Soil or Earth,Slide,Stabilized,Confined,#NULL!,,,,,,,,,,,,,,,
148,1W,21.211901,92.155645,5.50,2020,20,45,20.0,13.0,11.0,5.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
149,1W,21.211478,92.155442,6.60,2020,25,47,30.0,15.0,13.0,6.6,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Complex,,,,,,,,,,,,,,,
150,1W,21.211392,92.155212,5.00,2019,20,35,20.0,15.0,12.0,5.0,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
151,1W,21.211016,92.152351,2.10,2020,17,30,80.0,9.0,6.0,2.1,Soil or Earth,Fall,Active,"Advancing, Widening",Complex,,,,,,,,,,,,,,,
